file,ne1,type1,cnt-1,ne2,type2,cnt-2,ne3,type3,cnt-3,ne4,type4,cnt-4,ne5,type5,cnt-5,ne6,type6,cnt-6,ne7,type7,cnt-7,ne8,type8,cnt-8,ne9,type9,cnt-9,ne10,type10,cnt-10,ne11,type11,cnt-11,ne12,type12,cnt-12,ne13,type13,cnt-13,ne14,type14,cnt-14,ne15,type15,cnt-15,ne16,type16,cnt-16,ne17,type17,cnt-17,ne18,type18,cnt-18,ne19,type19,cnt-19,ne20,type20,cnt-20
CTX193100973,Kozákově skále,Nature/Landscape name (Mountain/River),2,Šárce,Nature/Landscape name (Mountain/River),1,Šárce,Urban geographical name (Street/Square),1,Benešovu,Surname,1,165,Volu-metric number,1,Šárky,Hydronym (Bodies of water),1,Praze,Settlement name (City/Town),1,7 . května 1931,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193100974,30,Volu-metric number,4,Praze,Settlement name (City/Town),3,11,Number expression (General),3,2,Number expression (General),2,Státního památkového úřadu,Organization/Society,2,26,Volu-metric number,2,Herrnritt,Surname,2,5,Volu-metric number,2,1,Number expression (General),2,29.prosince 1910,Complex time expressions,2,12 . března 1925,Complex time expressions,2,PRAZE,Settlement name (City/Town),1,"16 , května 1929",Complex time expressions,1,61563,Number expression (General),1,29,Number expression (General),1,J,First name,1,Slaný,Settlement name (City/Town),1,Slánská hora,Nature/Landscape name (Mountain/River),1,Státnímu archaelogickému ústavu v Praze,Cult/Educational institution,1,132 .,Ordinal number,1
CTX193100984,NÁRODNÍHO MUSEA V PRAZE,Cult/Educational institution,1,ČSL,States/Provinces/Regions,1,8 / 7 193,Complex time expressions,1,Josef Čermák,Complex personal names,1,Numismatického oddělení Národního musea,Cult/Educational institution,1,Hluchov,Settlement name (City/Town),1,Brandýsa n.Labem,Settlement name (City/Town),1,995,Cardinal number,1,Praze,Settlement name (City/Town),1,8.kv ětna 1931,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193100987,141,Itemizer (1.),1,Dřevčice,Settlement name (City/Town),1,Brandýs n . L .,Settlement name (City/Town),1,Státním archeologickém ústavu,Cult/Educational institution,1,Čermák,Surname,1,Brandýsa,Settlement name (City/Town),1,Brandýse,Settlement name (City/Town),1,Dřevčicích,Settlement name (City/Town),1,Praze,Settlement name (City/Town),1,"8.kv ětna , 1951",Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193100989,Brandýs n . L .,Settlement name (City/Town),1,Státním archeologickém ústavu,Cult/Educational institution,1,Čermák,Surname,1,Brandýsa,Settlement name (City/Town),1,Brandýse,Settlement name (City/Town),1,116 / 1,Number expression (General),1,Praze,Settlement name (City/Town),1,8.kv ětna 1931,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193100997,STATII A.T.CIIAEOLOGIOK Ý ÚSTAV,Cult/Educational institution,1,94,Cardinal number,1,193,Year,1,16 . J -,Complex time expressions,1,4,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101000,Horoměřic,Settlement name (City/Town),2,ČESKOSLOVENSKÝ STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV PRAHA III .,Cult/Educational institution,1,VLAŠSKÁ UL .,Super-terrestrial name (Star/Planet),1,347,Street address,1,LOBKOVICKÝ PALÁC,Super-terrestrial name (Star/Planet),1,403 - 31,Phone/Fax number,1,PRAZE,Settlement name (City/Town),1,9.kv ětna 193 1,Complex time expressions,1,100041951,Number expression (General),1,Praha,Settlement name (City/Town),1,758,Number expression (General),1,759,Number expression (General),1,Státním arch .,Organization/Society,1,Národního Musea,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101038,1934,Year,1,Vrábí,Settlement name (City/Town),1,Brandýs n.Lab .,Settlement name (City/Town),1,Hrušově,Settlement name (City/Town),1,13.kv ětna 1931,Complex time expressions,1,6 .,Ordinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101070,Elbogener Zeitung,Periodical name (Newspaper/Magazine),1,Ktarlsbad,Settlement name (City/Town),1,Don Dr . A . Gnirs,Complex personal names,1,1807,Year,1,Elbogener Museum,Cult/Educational institution,1,Salkenau,Settlement name (City/Town),1,Eintragungen erhalten toirb,Cultural artifact (Book/Painting),1,16.5 . 1931,Complex time expressions,1,Erb * werke eines Hausberges,Cultural artifact (Book/Painting),1,1400,Year,1,Altjattl,Surname,1,Dallmig,Surname,1,Dallwitz,Surname,1,Goethe,Surname,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101099,Sončkově,Surname,1,Plotištích,Settlement name (City/Town),1,Hradci Králové,Settlement name (City/Town),1,1,Cardinal number,1,Pouchově 1,Urban geographical name (Street/Square),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101119,Praze,Settlement name (City/Town),3,III,Number expression (General),2,Ministerstvo školství a národní osvěty,Organization/Society,1,31,Itemizer (1.),1,13.kv ětna 1931,Complex time expressions,1,Státnímu archeologickému ústavu,Cult/Educational institution,1,Vlašská ulice,Super-terrestrial name (Star/Planet),1,č .19,Street address,1,Dr . Frant .,Complex personal names,1,Lukavský,Surname,1,761,Number expression (General),1,Ministerstvo školství a národní 08,Organization/Society,1,Strašíně,Settlement name (City/Town),1,Šumavě,Territorial name (State/Region),1,Strašení,Nature/Landscape name (Mountain/River),1,15,Cardinal number,1,30 mil .,Cardinal number,1,V.Lukavsk ý,Complex personal names,1,,,0,,,0
CTX193101138,FRN,Periodical name (Newspaper/Magazine),1,24 6 1931,Complex time expressions,1,ČSL STATII ARCHAEOLOGICKY,Organization/Society,1,433,Number expression (General),1,Libni,Urban geographical name (Street/Square),1,Erbenovy,Super-terrestrial name (Star/Planet),1,Poděbradovy ulice,Super-terrestrial name (Star/Planet),1,Lib,Urban geographical name (Street/Square),1,Národniho můsea,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101148,8,Cardinal number,1,r,Measure unit,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101180,9 . 1931,Complex time expressions,2,ČSL,States/Provinces/Regions,1,STÁTNÍ HAROLOGICKÝ ÚSTAV,Cult/Educational institution,1,1180,Number expression (General),1,20 / 1,Number expression (General),1,8,Number expression (General),1,Tobler,Surname,1,Fannsylvania,Geographical name (General),1,H .,Geographical name (General),1,Geergn P Hamilin,Geographical name (General),1,Jt,Geographical name (General),1,Wh,Measure unit,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101204,2,Itemizer (1.),1,STÁTNÍ PAMÁTKOVÝ ÚRAD PRO CECHY VPRAZE,Organization/Society,1,2138,Number expression (General),1,1931,Year,1,Praha,Settlement name (City/Town),1,111,Number expression (General),1,34,Number expression (General),1,1.VI . 19 - 1,Complex time expressions,1,VLAŠSKÁ,Super-terrestrial name (Star/Planet),1,19,Street address,1,Stará Boleslav,Settlement name (City/Town),1,okres Brandýs n . L .,Territorial name (State/Region),1,X.stolet í,Ordinal number,1,Josefu 0 1 e,Complex personal names,1,Brendýse n . L .,Settlement name (City/Town),1,St . Boleslavi,Settlement name (City/Town),1,Státní památkový úřad,Organization/Society,1,Ná odního musea,Cult/Educational institution,1,Státnímu ercheologickému ústavu v Praze,Cult/Educational institution,1,,,0
CTX193101252,1253,Number expression (General),1,8,Cardinal number,1,931,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101273,Staré Boleslavi,Settlement name (City/Town),2,PAMÁTKOVÝ ÚŘAD PRO CECHY VPRAZE,Organization/Society,1,2243 / 31,Number expression (General),1,Stará Boleslav,Settlement name (City/Town),1,Praha,Settlement name (City/Town),1,III / 341,Number expression (General),1,10 . / V 1 . 1931,Complex time expressions,1,VLAŠSKÁ,Super-terrestrial name (Star/Planet),1,19,Street address,1,Státnímu archeologickému ústavu v Praze,Cult/Educational institution,1,Státnímu památkovému úřadu pro Cechy v Praze,Organization/Society,1,4 . / VI . 1931,Complex time expressions,1,939,Cardinal number,1,Hluchově,Settlement name (City/Town),1,2,Cardinal number,1,", Naše Polabí",Periodical name (Newspaper/Magazine),1,p . Čermák z Brandýsa n / Lab .,Complex personal names,1,Brandýse n / Lab .,Settlement name (City/Town),1,941,Cardinal number,1,929,Cardinal number,1
CTX193101384,Loun,Settlement name (City/Town),2,7,Number expression (General),1,28,Number expression (General),1,PRRHA,Geographical name (General),1,1384,Year,1,1931,Year,1,ARCHAEOLOGICKÝ ÚSTAV,Cult/Educational institution,1,10,Cardinal number,1,Mb,Measure unit,1,Praha,Settlement name (City/Town),1,22 . června,Complex time expressions,1,11 .,Ordinal number,1,Jelínek a Me Meobjevovaly,Company/Firm,1,Národního musea v Praze,Cult/Educational institution,1,180,Cardinal number,1,prof . dr . Schránil,Complex personal names,1,dr . Neústupným,Complex personal names,1,Prahy,Settlement name (City/Town),1,14,Cardinal number,1,Inventář,Product (General),1
CTX193101447,4,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101588,STÁTNÍ PAMÁTKOVÝ ÚŘAD PRO CECHY V PRAZE,Organization/Society,1,Hradiště u Černic,Settlement name (City/Town),1,Praha,Settlement name (City/Town),1,111,Number expression (General),1,34,Number expression (General),1,14,Number expression (General),1,9,Number expression (General),1,31,Number expression (General),1,VLAŠSKÁ,Super-terrestrial name (Star/Planet),1,19,Street address,1,Státnímu archeologickému ústavu v Praze,Cult/Educational institution,1,Státní památkový úřad,Organization/Society,1,J Lótgiu,Organization/Society,1,7,Number expression (General),1,3,Number expression (General),1,,,0,,,0,,,0,,,0,,,0
CTX193101620,19,Year,1,19 37,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101644,ČSL,States/Provinces/Regions,1,STÁTNÍ ARCITAEOLOGICKY ÚSTAV,Cult/Educational institution,1,6,Cardinal number,1,MM,Measure unit,1,4,Cardinal number,1,1 .,Ordinal number,1,Ďá - ich,Settlement name (City/Town),1,Čimicemi,Settlement name (City/Town),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101768,ČSL,States/Provinces/Regions,1,STÁTNÍ ARCHAE,Cult/Educational institution,1,193,Number expression (General),1,C . J L,Complex personal names,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101804,cm,Measure unit,5,Nelahozevsi,Settlement name (City/Town),3,150,Cardinal number,3,130,Cardinal number,2,Nelahozeves,Settlement name (City/Town),1,Kralupy nad Vltavou,Settlement name (City/Town),1,26.1 . 1956,Complex time expressions,1,AU,Organization/Society,1,Povltavských tukových závodů,Conference/Contest,1,ONV,Organization/Society,1,Kralupech,Settlement name (City/Town),1,SNB,Periodical name (Newspaper/Magazine),1,27 . I . t .,Complex time expressions,1,AÚ,Organization/Society,1,2.11 .,Complex time expressions,1,1,Cardinal number,1,m,Measure unit,1,1,Number expression (General),1,20,Cardinal number,1,160,Cardinal number,1
CTX193101836,mm,Measure unit,3,ČSL,States/Provinces/Regions,1,ŠTÁTNI ARCHAEOLOGICKÝ ÚSTAV,Cult/Educational institution,1,4,Cardinal number,1,K MODŘANY,Settlement name (City/Town),1,Praha - venkov,Territorial name (State/Region),1,Modřanech,Urban geographical name (Street/Square),1,Modřan,Urban geographical name (Street/Square),1,125,Cardinal number,1,40,Cardinal number,1,25,Cardinal number,1,5 . 18 .,Complex time expressions,1,2,Itemizer (1.),1,19,Number expression (General),1,3,Itemizer (1.),1,Praze,Settlement name (City/Town),1,5 . srpna 1931,Complex time expressions,1,1931,Year,1,,,0,,,0
CTX193101838,40,Volu-metric number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193101841,H . Kotvy,Complex personal names,2,1,Volu-metric number,2,mm,Measure unit,2,Praze,Settlement name (City/Town),2,MODŘANY,Urban geographical name (Street/Square),1,Praha - venkov,Territorial name (State/Region),1,Mo - dřanech,Urban geographical name (Street/Square),1,Modřan,Urban geographical name (Street/Square),1,3,Volu-metric number,1,220,Cardinal number,1,90,Cardinal number,1,950.937,Number expression (General),1,50,Number expression (General),1,2,Itemizer (1.),1,2,Volu-metric number,1,Kotvy,Surname,1,49,Number expression (General),1,957,Number expression (General),1,958,Number expression (General),1,3.srpna 1931,Complex time expressions,1
CTX193101845,mm,Measure unit,21,1,Itemizer (1.),3,V .,Ordinal number,3,5,Number expression (General),2,3,Itemizer (1.),2,2,Itemizer (1.),2,963,Number expression (General),2,2,Volu-metric number,2,140,Cardinal number,2,85,Cardinal number,2,95,Cardinal number,2,9,Volu-metric number,2,Praze,Settlement name (City/Town),2,ČSL,States/Provinces/Regions,1,AREHIAROLOGTCKÝ Ostav,Organization/Society,1,57 vn 1931,Complex time expressions,1,Praha - venkov,Territorial name (State/Region),1,"Brabencova pískovna , č . kat . 42 04",Complex Address/Number/Time,1,Nodřanech,Urban geographical name (Street/Square),1,H . Kotvytie,Complex personal names,1
CTX193102104,1,Cardinal number,4,4,Cardinal number,3,2,Cardinal number,3,Svijan,Settlement name (City/Town),2,5,Cardinal number,2,cm,Measure unit,2,187,Number expression (General),1,Praze,Settlement name (City/Town),1,1,Itemizer (1.),1,7,Number expression (General),1,46,Number expression (General),1,Újezdě,Settlement name (City/Town),1,Turnov,Settlement name (City/Town),1,Příšovické,Super-terrestrial name (Star/Planet),1,červnu,Month,1,poč . srpna,Complex time expressions,1,Valkoun,Surname,1,Dědeček,Surname,1,14,Cardinal number,1,20,Cardinal number,1
CTX193102138,Zbraslavi,Urban geographical name (Street/Square),4,Kadeřábek,Surname,3,Praha,Settlement name (City/Town),2,Lipanech,Settlement name (City/Town),2,Lipan,Settlement name (City/Town),2,27 . srpna 1931,Complex time expressions,2,80,Cardinal number,2,cm,Measure unit,2,M.U.Dr,Complex personal names,2,2,Number expression (General),1,PRAZE,Settlement name (City/Town),1,3440 / 31,Number expression (General),1,111 / 347,Number expression (General),1,10 . / 1 X . 19 31,Complex time expressions,1,VLAŠSKÁ,Super-terrestrial name (Star/Planet),1,19,Street address,1,Státnímu archeologickému ústavu v Praze,Cult/Educational institution,1,ČSL,States/Provinces/Regions,1,4 / X 193 / p i 3138,Complex time expressions,1,Praze,Settlement name (City/Town),1
CTX193102225,ČSL,States/Provinces/Regions,1,ARCIIAEOLOGICKÝ ÚSTAV,Cult/Educational institution,1,232 230 / 9 193,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102226,Lysolaje,Settlement name (City/Town),1,1,Number expression (General),1,0,Number expression (General),1,Praha,Settlement name (City/Town),1,13 . VII . 1931,Complex time expressions,1,žrkou,Surname,1,Lysolaje,Geographical name (General),1,13,Itemizer (1.),1,1 . V 11 . 1931,Complex time expressions,1,1795,Year,1,31,Number expression (General),1,Praze,Settlement name (City/Town),1,září 1931,Complex time expressions,1,Vicu,Personal name (General),1,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102297,Kristem,Personal name (General),2,Vaníčka,Surname,2,Plané,Settlement name (City/Town),2,91981,Year,1,CSL FTATIII ARCMIAEOLOGICKY OST .,Cultural artifact (Book/Painting),1,3,Itemizer (1.),1,1,Itemizer (1.),1,Plzeňsku,Territorial name (State/Region),1,7 .,Ordinal number,1,Plané nade Mži,Settlement name (City/Town),1,Klein,Surname,1,12,Cardinal number,1,cm,Measure unit,1,Awi 2298,Geographical name (General),1,3 .,Ordinal number,1,1 .,Ordinal number,1,Kostelci nade Mži,Settlement name (City/Town),1,Chotyni,Settlement name (City/Town),1,19 .,Ordinal number,1,Matyáš z Jät - hensteina z Král,Complex personal names,1
CTX193102304,1,Cardinal number,5,m,Measure unit,3,1,Number expression (General),2,Plaňan,Settlement name (City/Town),2,24 . / 9,Complex time expressions,1,F . Dvořákovi,Complex personal names,1,5,Cardinal number,1,4,Cardinal number,1,f,Cardinal number,1,Píč,Surname,1,VI .,Ordinal number,1,Kri,Relig./myth persons,1,- 1 stem,Personal name (General),1,Evropě,Continents,1,1 městského musea kolínského,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0
CTX193102321,1,Cardinal number,3,10,Cardinal number,1,Kolínsku,Territorial name (State/Region),1,Dru,Cult/Educational institution,1,Dvořákovi,Surname,1,Plaňan,Settlement name (City/Town),1,5,Cardinal number,1,4,Cardinal number,1,3,Cardinal number,1,2,Cardinal number,1,prof Pič .,Complex personal names,1,6 .,Ordinal number,1,Kristem,Relig./myth persons,1,Evropě,Continents,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102322,Streková,Settlement name (City/Town),2,Schreckenstein,Surname,1,2333,Number expression (General),1,M . - Ostrau,Settlement name (City/Town),1,29 . 9 . 1931,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102336,3334,Number expression (General),1,193,Year,1,Praha,Settlement name (City/Town),1,Bubeneč,Urban geographical name (Street/Square),1,1,Itemizer (1.),1,Bučkovy ulice,Super-terrestrial name (Star/Planet),1,294 / 25 / 2,Number expression (General),1,15,Cardinal number,1,mmm,Measure unit,1,3,Cardinal number,1,mmmm,Measure unit,1,3,Itemizer (1.),1,Bůčkově ulici,Super-terrestrial name (Star/Planet),1,1 T,Product (General),1,Praze,Settlement name (City/Town),1,3 L . září 1931,Complex time expressions,1,,,0,,,0,,,0,,,0
CTX193102338,ČSL,States/Provinces/Regions,1,332,Number expression (General),1,6,Number expression (General),1,193,Number expression (General),1,Praha,Settlement name (City/Town),1,Bubeneč,Urban geographical name (Street/Square),1,80,Number expression (General),1,Praze,Settlement name (City/Town),1,30 září 1931,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102341,I,Itemizer (1.),1,"IAEOLOGICET ÚSTAV , 334 / dne J * j ocet příloh O",Complex Address/Number/Time,1,G,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102345,8343,Number expression (General),1,4,Cardinal number,1,193,Cardinal number,1,Petrbok,Surname,1,22,Number expression (General),1,Praze,Settlement name (City/Town),1,3 L září 193,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102430,3430,Number expression (General),1,193,Number expression (General),1,V . J,Complex personal names,1,030 / 31,Number expression (General),1,ZIBIŠ,Settlement name (City/Town),1,Mělník,Territorial name (State/Region),1,"13 , říj na 193",Complex time expressions,1,8,Volu-metric number,1,31,Volu-metric number,1,Anny Jindřichové,Complex personal names,1,8 . p . 306,Complex time expressions,1,Praze,Settlement name (City/Town),1,"14 , října 1931",Complex time expressions,1,8,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102440,Strašína,Settlement name (City/Town),2,ČESKOSLOVENSKÉ REPUBLIKY,States/Provinces/Regions,1,PRAHA,Settlement name (City/Town),1,SMÍCHOV,Urban geographical name (Street/Square),1,PRESLOVA,Super-terrestrial name (Star/Planet),1,UL,Street address,1,41617,Phone/Fax number,1,689 / 31,Number expression (General),1,Praze,Settlement name (City/Town),1,13 . října,Complex time expressions,1,Šumave,Hydronym (Bodies of water),1,24,Number expression (General),1,6,Number expression (General),1,Československému státnímu archaelogickému ústavu v Praze,Cult/Educational institution,1,Ladisla Ladisla Zelenkovi,Complex personal names,1,Dr . Zelen Zelena,Complex personal names,1,1930,Year,1,Josefa Kunského,Complex personal names,1,Strašína,Urban geographical name (Street/Square),1,00,Number expression (General),1
CTX193102453,Junka,Surname,2,HRADEC KRL,Settlement name (City/Town),1,POUCHOVÉ,Urban geographical name (Street/Square),1,J . Junka,Complex personal names,1,Pouchové,Settlement name (City/Town),1,Hirade Králové,Settlement name (City/Town),1,Hradci Králové,Settlement name (City/Town),1,4,Itemizer (1.),1,16 .,Ordinal number,1,15 .,Ordinal number,1,12 .,Ordinal number,1,Rakušan,Surname,1,L . D .,Complex personal names,1,Juw,First name,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102643,3 . November 1931,Complex time expressions,1,Hochverehrter Herr Direktor !,Cultural artifact (Book/Painting),1,Institut vorzusprechen,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102685,Pitlík,Surname,2,Plzeň,Settlement name (City/Town),1,Červeným Hrádkem,Settlement name (City/Town),1,Tišicemi,Settlement name (City/Town),1,Plzně,Settlement name (City/Town),1,Homolkou,Nature/Landscape name (Mountain/River),1,437,Number expression (General),1,Plzni,Settlement name (City/Town),1,M . Pitlíka,Complex personal names,1,"Červ , Hrádku",Settlement name (City/Town),1,Salzmanna,Surname,1,24,Cardinal number,1,cm,Measure unit,1,14,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102715,STÁTNÍ ARCNAROLOGICKÝ ÚSTÄV,Cult/Educational institution,1,27,Number expression (General),1,5,Number expression (General),1,2,Number expression (General),1,17,Number expression (General),1,193,Number expression (General),1,9,Number expression (General),1,0*,Number expression (General),1,0,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102750,10,Year,1,Lysé n . Lab,Settlement name (City/Town),1,Hvězdáříku«,Geographical name (General),1,Lysé A . Lab .,Settlement name (City/Town),1,L století,Ordinal number,1,Kristu,Relig./myth persons,1,BUCCO NO - NULLUS,Product (General),1,Národního musea v Praze,Cult/Educational institution,1,Itálie,States/Provinces/Regions,1,Lysé ti,Settlement name (City/Town),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102762,G . B . Schlan G . Z .,Complex personal names,1,Josef Švejda,Complex personal names,1,1,Cardinal number,1,t,Measure unit,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102765,BRANDÝS n . / L,Settlement name (City/Town),1,ING.KHCM,Complex personal names,1,Košáteckého potoka,Hydronym (Bodies of water),1,Museum Brandýs n . / L .,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102766,V . ŠTĚPÁN,Complex personal names,1,KOŠÁTECKÝM POTOKEM,Nature/Landscape name (Mountain/River),1,1925,Year,1,5,Cardinal number,1,Museu,Cult/Educational institution,1,Brandýse,Settlement name (City/Town),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102768,J,Measure unit,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102810,Praze,Settlement name (City/Town),2,Prnsee,Settlement name (City/Town),1,jistí nad Labem,Settlement name (City/Town),1,Reteníofch,Settlement name (City/Town),1,28,Number expression (General),1,2,Number expression (General),1,Státnímu archeologickém ústavu v Řetenicích,Cult/Educational institution,1,19.listo adu 1931,Complex time expressions,1,18.11 . 1951,Complex time expressions,1,Maxa ndisohe,Geographical name (General),1,Hudcov,Settlement name (City/Town),1,Teplice Šanov,Settlement name (City/Town),1,Prantišek Reischel 3 Hudcova,Complex personal names,1,Vilém Ployera,Complex personal names,1,1.400,Cardinal number,1,1.600,Cardinal number,1,Viléma Playora,Complex personal names,1,20.11 . 1931,Complex time expressions,1,Viléma Ployera,Complex personal names,1,4,Cardinal number,1
CTX193102842,Želkovicích,Settlement name (City/Town),2,Suchomastech,Settlement name (City/Town),2,ČSL STÁTNÍ ARCHAROLOGICKY UST .,Organization/Society,1,6.8842,Number expression (General),1,1934,Year,1,2842 / 31,Number expression (General),1,ŽELKOVICE,Settlement name (City/Town),1,Zdic,Settlement name (City/Town),1,Hořovice,Settlement name (City/Town),1,198,Number expression (General),1,25,Number expression (General),1,30.dubna 1925,Complex time expressions,1,Buchtela,Surname,1,Dr.Bohm ohle - dati,Complex personal names,1,Libomyšlí,Settlement name (City/Town),1,Hrádek,Nature/Landscape name (Mountain/River),1,Plešivec,Nature/Landscape name (Mountain/River),1,Hrádek,Geographical name (General),1,Libomyšli,Settlement name (City/Town),1,Felcman,Surname,1
CTX193102846,20 / 37,Cardinal number,1,K,Measure unit,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102887,Jíra,Surname,4,Praha,Settlement name (City/Town),3,Prahy,Settlement name (City/Town),2,Dejvicích,Urban geographical name (Street/Square),2,J . A . Jíra,Complex personal names,2,Jírová,Surname,2,Prahou,Settlement name (City/Town),1,Jírovo archeologické museum«,Cult/Educational institution,1,Hanspaulce,Urban geographical name (Street/Square),1,Jírovy,Surname,1,Dejvických,Inhabitant name,1,30 . listopadu,Complex time expressions,1,»Na Hanspaulce,Urban geographical name (Street/Square),1,Čihadlo«,Nature/Landscape name (Mountain/River),1,Hans Paul Hipmann,Complex personal names,1,Paul«,Geographical name (General),1,1000,Cardinal number,1,Jírův,Surname,1,Vltavy,Hydronym (Bodies of water),1,Bubenče,Urban geographical name (Street/Square),1
CTX193102904,Praze,Settlement name (City/Town),2,PRAHA,Settlement name (City/Town),1,8,Volu-metric number,1,129,Volu-metric number,1,31,Volu-metric number,1,21 . X ],Complex time expressions,1,1931,Year,1,Ardennskou,Super-terrestrial name (Star/Planet),1,3.prosince 1931,Complex time expressions,1,prosince 1931,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX193102910,cm,Measure unit,7,m,Measure unit,5,Armén,Inhabitant name,4,2,Number expression (General),3,K,Measure unit,2,3,Number expression (General),2,Max Endisch,Complex personal names,2,120,Number expression (General),2,1,Number expression (General),2,Kopf in Osten,Cultural artifact (Book/Painting),2,8,Cardinal number,2,mm,Measure unit,2,Kopf in Westen,Cultural artifact (Book/Painting),2,80,Cardinal number,2,54,Number expression (General),2,2,Cardinal number,1,Hudcov,Settlement name (City/Town),1,Šanov,Urban geographical name (Street/Square),1,"Československý státní archaeologický ústav , Praha",Complex Address/Number/Time,1,23,Number expression (General),1
CTX193102974,2,Number expression (General),2,4,Itemizer (1.),1,22,Number expression (General),1,1,Number expression (General),1,3,Number expression (General),1,0269,Number expression (General),1,76,Number expression (General),1,47,Cardinal number,1,1,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
