text,variants,lines_settled,tranche,stratum,sampling_weight,clauses,categ_current,nearest_attested,recoverability,gold_categ,confidence,note
Brnn gegegen.,Brnn gegegen.,2,sample_tail,at_risk/full,27.2917,low_variety,Clear:2,"gegegen -> gelegen (211, edit1)",1.00,,,
Oient.,Oient.,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"oient -> ident (4938, edit1)",1.00,,,
Otaslavioe,Otaslavioe,2,sample_tail,at_risk/full,27.2917,vowel_run,Clear:2,"otaslavioe -> otaslavice (104, edit1)",1.00,,,
LNIII,LNIII,1,sample_tail,at_risk/full,27.2917,"triple,vowel_run",Clear:1,"lniii -> linii (8286, edit1)",1.00,,,
"lieol,","lieol,",1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"lieol -> heol (49, confusion)",1.00,,,
A wioul.,A wioul.,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"wioul -> would (46, edit1)",1.00,,,
Ccrealia indet,Ccrealia indet,1,sample_tail,at_risk/full,27.2917,initial_geminate,Clear:1,"ccrealia -> cerealia (215, confusion)",1.00,,,
Knoyizer Kultur,Knoyizer Kultur,1,sample_tail,at_risk/full,27.2917,vowel_run,Clear:1,"knoyizer -> knovizer (40, edit1)",1.00,,,
PEAUA -PD,PEAUA -PD,1,sample_tail,at_risk/full,27.2917,vowel_run,Noisy:1,"peaua -> paula (28, edit1)",1.00,,,
Auewv,Auewv,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
/Caeecrh,/Caeecrh,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
alllov,alllov,1,sample_tail,at_risk/none,27.2245,triple,Clear:1,,0.00,,,
koeasezoans..,koeasezoans..,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
Ottendorferstrasse 27.,Ottendorferstrasse 27.,1,sample_tail,at_risk/none,27.2245,low_variety,Noisy:1,,0.00,,,
Frauengr,Frauengr,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
malakofaura/musle/skeble 1 1,malakofaura/musle/skeble 1 1,1,sample_tail,at_risk/none,27.2245,low_variety,Noisy:1,,0.00,,,
|CAv ABCNIOOAME V,|CAv ABCNIOOAME V,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
"Geglättet,grauer Ton,ohne Ornament,zusammen-","Geglättet,grauer Ton,ohne Ornament,zusammen-",1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
"geglättet,gekittet,Siedelungsfund,","geglättet,gekittet,Siedelungsfund,",1,sample_tail,at_risk/none,27.2245,low_variety,Clear:1,,0.00,,,
— Yiuiln,— Yiuiln,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
SENKRECHTEOSEWAAGERECHTDURCHBOHRT,SENKRECHTEOSEWAAGERECHTDURCHBOHRT,1,sample_tail,at_risk/none,27.2245,low_variety,Clear:1,,0.00,,,
laoag,laoag,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
däiäsu/ ',däiäsu/ ',1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
SIAPAIOG,SIAPAIOG,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
luaouithot,luaouithot,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
"Schirmeisen,Nachric","Schirmeisen,Nachric",1,sample_tail,at_risk/none,27.2245,low_variety,Clear:1,,0.00,,,
415 51 LTOMEAICE,415 51 LTOMEAICE,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
-ouumnu,-ouumnu,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
Aeunku,Aeunku,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
ghrauo z,ghrauo z,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
hiouel,hiouel,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
Mataiäl,Mataiäl,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
"gut erhalten,Pfablbaufund,näbere Fundnotiz","gut erhalten,Pfablbaufund,näbere Fundnotiz",1,sample_tail,at_risk/none,27.2245,low_variety,Clear:1,,0.00,,,
Lokoliaoc /Olalite -,Lokoliaoc /Olalite -,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
ruoovtce,ruoovtce,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
M ittabstandstreue,M ittabstandstreue,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
Eootra.5,Eootra.5,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
"Gebauer,,Zweitausend","Gebauer,,Zweitausend",1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
Gemmmr,Gemmmr,1,sample_tail,at_risk/none,27.2245,triple,Clear:1,,0.00,,,
lan Pauelt.,lan Pauelt.,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
OTRIUO,OTRIUO,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
"ausladend,Siedelungsfund,gefunden bei","ausladend,Siedelungsfund,gefunden bei",1,sample_tail,at_risk/none,27.2245,low_variety,Clear:1,,0.00,,,
Jilouitm,Jilouitm,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
IIIe/str. 45.,IIIe/str. 45. | IIIe/str. 73,2,sample_tail,at_risk/none,27.2245,"triple,vowel_run",Noisy:2,,0.00,,,
grauergrobgeschlämmter Ton.,grauergrobgeschlämmter Ton.,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
U Ji **dmdekee*enenuenanennnadkannnnenennrvenaphsors,U Ji **dmdekee*enenuenanennnadkannnnenennrvenaphsors,1,sample_tail,at_risk/none,27.2245,low_variety,Noisy:1,,0.00,,,
ccna/vzorek,ccna/vzorek,1,sample_tail,at_risk/none,27.2245,initial_geminate,Noisy:1,,0.00,,,
w Archeoingich. apetetnost,w Archeoingich. apetetnost,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
"Ornamentierung,gekittet ,-lachgrabfund","Ornamentierung,gekittet ,-lachgrabfund",1,sample_tail,at_risk/none,27.2245,low_variety,Clear:1,,0.00,,,
kureierenta,kureierenta,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
VYROVNAVAII,VYROVNAVAII,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
wwarchkanz,wwarchkanz,1,sample_tail,at_risk/none,27.2245,initial_geminate,Clear:1,,0.00,,,
Vkooal:,Vkooal:,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
Ouetir,Ouetir,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
Ô/IOAP,Ô/IOAP,2,sample_tail,at_risk/none,27.2245,vowel_run,Clear:2,,0.00,,,
"gebettet,Orientierung W.-O.","gebettet,Orientierung W.-O.",1,sample_tail,at_risk/none,27.2245,low_variety,Noisy:1,,0.00,,,
UUOOC,UUOOC,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
Phameey .,Phameey .,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
llyry,llyry,1,sample_tail,at_risk/none,27.2245,initial_geminate,Clear:1,,0.00,,,
CIAOLOOIS,CIAOLOOIS,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
Der Uberbrgermeisterrwerbung:,Der Uberbrgermeisterrwerbung:,1,sample_tail,at_risk/none,27.2245,low_variety,Clear:1,,0.00,,,
Oauorlcihe,Oauorlcihe,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
metacarpus/metatarsus,metacarpus/metatarsus,3,sample_tail,at_risk/none,27.2245,low_variety,Clear:3,,0.00,,,
Rasterelektronenmikroskop (SEM) 37,Rasterelektronenmikroskop (SEM) 37,1,sample_tail,at_risk/none,27.2245,low_variety,Noisy:1,,0.00,,,
-praoovel AJ) .,-praoovel AJ) .,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
"Grauer,feingeschlämmter Ton,","Grauer,feingeschlämmter Ton,",1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
"Auokit ,","Auokit ,",1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
SUEAYSVA UL .,SUEAYSVA UL .,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
ow-ecimpuawcaweripyigeripoie,ow-ecimpuawcaweripyigeripoie,1,sample_tail,at_risk/none,27.2245,"low_variety,vowel_run",Noisy:1,,0.00,,,
/s 5.19 Julailajouud?-,/s 5.19 Julailajouud?-,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
sahgimnoya rna w,sahgimnoya rna w,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
objlll9.cdr,objlll9.cdr,1,sample_tail,at_risk/none,27.2245,triple,Noisy:1,,0.00,,,
"XXX,1937,str. 21","XXX,1937,str. 21",1,sample_tail,at_risk/none,27.2245,"initial_geminate,triple",Noisy:1,,0.00,,,
zie_nechfelsenden_Eintragungen_sind_der_Einlagezahl beimgrund-,zie_nechfelsenden_Eintragungen_sind_der_Einlagezahl beimgrund-,1,sample_tail,at_risk/none,27.2245,low_variety,Noisy:1,,0.00,,,
"mit zweiseitigen Bearbeitungsspuren,teilweise","mit zweiseitigen Bearbeitungsspuren,teilweise",1,sample_tail,at_risk/none,27.2245,low_variety,Clear:1,,0.00,,,
1 Auaklo,1 Auaklo,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
deauk,deauk,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
( vyiizet 1:,( vyiizet 1:,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
Ccelc,Ccelc,1,sample_tail,at_risk/none,27.2245,initial_geminate,Clear:1,,0.00,,,
steuerbegunstigtes Bausparen.,steuerbegunstigtes Bausparen.,2,sample_tail,at_risk/none,27.2245,"low_variety,vowel_run",Clear:2,,0.00,,,
"iny Wialkopolskiej,III.Sympozjum paleolityczne,","iny Wialkopolskiej,III.Sympozjum paleolityczne,",1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
v Lloudl,v Lloudl,1,sample_tail,at_risk/none,27.2245,initial_geminate,Clear:1,,0.00,,,
UUONUD,UUONUD,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
Mhmiffmniffl,Mhmiffmniffl,1,sample_tail,at_risk/none,27.2245,low_variety,Noisy:1,,0.00,,,
cnuuo.,cnuuo.,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
lleutschlosen.,lleutschlosen.,1,sample_tail,at_risk/none,27.2245,initial_geminate,Clear:1,,0.00,,,
"Bronzezeit,Siedelungsfund,gefunden","Bronzezeit,Siedelungsfund,gefunden",1,sample_tail,at_risk/none,27.2245,low_variety,Clear:1,,0.00,,,
Wwowdns..,Wwowdns..,1,sample_tail,at_risk/none,27.2245,initial_geminate,Noisy:1,,0.00,,,
"mentiert,inkrustiert,Siedelungsfunde,","mentiert,inkrustiert,Siedelungsfunde,",1,sample_tail,at_risk/none,27.2245,low_variety,Clear:1,,0.00,,,
6 udllly /93/,6 udllly /93/,1,sample_tail,at_risk/none,27.2245,triple,Noisy:1,,0.00,,,
SOURAUAI,SOURAUAI,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
.—ckoau,.—ckoau,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
HEAITKO:,HEAITKO:,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
aearet—,aearet—,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
rojoooc. c4e/ 7,rojoooc. c4e/ 7,1,sample_tail,at_risk/none,27.2245,"triple,vowel_run",Noisy:1,,0.00,,,
gooocat,gooocat,1,sample_tail,at_risk/none,27.2245,"triple,vowel_run",Clear:1,,0.00,,,
"""nhoienaci""","""nhoienaci""",1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
CZEUI,CZEUI,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
binoioq,binoioq,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
3nbaltsverzeiis3.44,3nbaltsverzeiis3.44,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
Valauec — L,Valauec — L,1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
Lioucha,Lioucha,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
OUPIUO,OUPIUO,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
"Ornamentierung,Siedelungsfunde,aus","Ornamentierung,Siedelungsfunde,aus",1,sample_tail,at_risk/none,27.2245,low_variety,Clear:1,,0.00,,,
v PrazeIII.,v PrazeIII.,2,sample_tail,at_risk/none,27.2245,"triple,vowel_run",Noisy:2,,0.00,,,
", Durehden.Veyaufschhifen In",", Durehden.Veyaufschhifen In",1,sample_tail,at_risk/none,27.2245,vowel_run,Noisy:1,,0.00,,,
Povekrkoäsoaoycov,Povekrkoäsoaoycov,1,sample_tail,at_risk/none,27.2245,vowel_run,Clear:1,,0.00,,,
"Steinhammerfragment,Schlagfläehe beim","Steinhammerfragment,Schlagfläehe beim",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,,0.50,,,
"""mrreaitt, mmame a""","""mrreaitt, mmame a""",1,sample_tail,at_risk/partial,27.1667,"initial_geminate,vowel_run",Noisy:1,"mmame -> mame (27, confusion)",0.50,,,
"erhalten,Skelettgrabfund,Henkel osen-","erhalten,Skelettgrabfund,Henkel osen-",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,,0.50,,,
"der Reibfläche.Feinkrniger,hellgrauer Quarzit","der Reibfläche.Feinkrniger,hellgrauer Quarzit",1,sample_tail,at_risk/partial,27.1667,vowel_run,Clear:1,,0.67,,,
"teilweise inkrustiert,Herdstellenfunde.","teilweise inkrustiert,Herdstellenfunde.",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,,0.50,,,
"DSEYO, ESTRUSKA,","DSEYO, ESTRUSKA,",1,sample_tail,at_risk/partial,27.1667,vowel_run,Clear:1,"estruska -> struska (3518, edit1)",0.50,,,
USTAV NCHEOLOOICKI •,USTAV NCHEOLOOICKI •,1,sample_tail,at_risk/partial,27.1667,vowel_run,Noisy:1,ustav attested 3541x but ústav is 34449x (diacritics),0.50,,,
"flachem Boden,gekittet,geglattete","flachem Boden,gekittet,geglattete",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,flachem attested 49x but flachen is 289x (stronger-twin),0.50,,,
ergrserungeines Glasteuamnefehr schn,ergrserungeines Glasteuamnefehr schn,1,sample_tail,at_risk/partial,27.1667,"low_variety,vowel_run",Clear:1,,0.33,,,
"minder erhalten,Siedelungsfund,Fund-","minder erhalten,Siedelungsfund,Fund-",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,,0.50,,,
"Innenseite ornamentiert,inkrustiert, 1903-1904.","Innenseite ornamentiert,inkrustiert, 1903-1904.",1,sample_tail,at_risk/partial,27.1667,low_variety,Noisy:1,,0.50,,,
"Elbekosteletz,Bez.Melnik","Elbekosteletz,Bez.Melnik",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,melnik attested 41x but mělník is 1147x (diacritics),0.50,,,
Nr.31328=Feuersteinknollen von gelber,Nr.31328=Feuersteinknollen von gelber,1,sample_tail,at_risk/partial,27.1667,vowel_run,Noisy:1,,0.50,,,
"Socket entgegenbringt, ab.","Socket entgegenbringt, ab.",1,sample_tail,at_risk/partial,27.1667,low_variety,Noisy:1,"socket -> sockel (12, edit1)",0.50,,,
"fehlt, teilweise inkrustiert,Siedelungsfund,","fehlt, teilweise inkrustiert,Siedelungsfund,",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,,0.67,,,
"ZAPSAL: ZE2EOUEC, 7","ZAPSAL: ZE2EOUEC, 7",1,sample_tail,at_risk/partial,27.1667,vowel_run,Noisy:1,,0.50,,,
Dreieckklinge aus Feuerstei,Dreieckklinge aus Feuerstei,1,sample_tail,at_risk/partial,27.1667,vowel_run,Clear:1,"feuerstei -> feuerstein (287, edit1)",0.50,,,
Kkdsari Jundrov,Kkdsari Jundrov,1,sample_tail,at_risk/partial,27.1667,initial_geminate,Clear:1,,0.50,,,
Kreaik: P. KacI,Kreaik: P. KacI,2,sample_tail,at_risk/partial,27.1667,vowel_run,Noisy:2,,0.50,,,
"erbreitern,einseitig konische Form","erbreitern,einseitig konische Form",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,,0.67,,,
Ccrav : Podersam,Ccrav : Podersam,1,sample_tail,at_risk/partial,27.1667,initial_geminate,Noisy:1,,0.50,,,
"Druh : KE,KO,KE,KO,MINCE,KE,FE,KE,STR,K","Druh : KE,KO,KE,KO,MINCE,KE,FE,KE,STR,K",1,sample_tail,at_risk/partial,27.1667,low_variety,Noisy:1,,0.50,,,
ZPRAVA O ARCHEOLOGICKEAAKCI,ZPRAVA O ARCHEOLOGICKEAAKCI,1,sample_tail,at_risk/partial,27.1667,vowel_run,Clear:1,zprava attested 3981x but zpráva is 36676x (diacritics),0.50,,,
"Eine Feuersteinsäge,an der","Eine Feuersteinsäge,an der",1,sample_tail,at_risk/partial,27.1667,vowel_run,Clear:1,,0.50,,,
IIECLOCI7 1 STAV,IIECLOCI7 1 STAV,1,sample_tail,at_risk/partial,27.1667,vowel_run,Noisy:1,,0.50,,,
Grobgearbeiteter dickwandiger Napf.,Grobgearbeiteter dickwandiger Napf.,1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,,0.67,,,
zapsal ..N..EAMEAA(k,zapsal ..N..EAMEAA(k,1,sample_tail,at_risk/partial,27.1667,vowel_run,Clear:1,,0.50,,,
"grosstes Unternehmen,heute stillgelegt.","grosstes Unternehmen,heute stillgelegt.",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,"grosstes -> grosses (111, edit1)",0.33,,,
"Steinmeisselfragment,mit einseitigem","Steinmeisselfragment,mit einseitigem",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,"einseitigem -> einseitiger (13, edit1)",0.50,,,
"1.gelbbraunes Feuersteinmesser,gefunden 1935,","1.gelbbraunes Feuersteinmesser,gefunden 1935,",1,sample_tail,at_risk/partial,27.1667,"low_variety,vowel_run",Noisy:1,"gelbbraunes -> gelbbrauner (53, edit1)",0.50,,,
waren bauerlicher Besitz.,waren bauerlicher Besitz.,1,sample_tail,at_risk/partial,27.1667,vowel_run,Clear:1,,0.67,,,
uoini DCIAOVICC,uoini DCIAOVICC,2,sample_tail,at_risk/partial,27.1667,vowel_run,Noisy:2,"uoini -> doini (25, edit1)",0.50,,,
lidu XtERXLTLEKErOncvgerOpehCet 84/.,lidu XtERXLTLEKErOncvgerOpehCet 84/.,1,sample_tail,at_risk/partial,27.1667,low_variety,Noisy:1,,0.50,,,
"Hirschhornhammer,abgebohrt,gut erhal","Hirschhornhammer,abgebohrt,gut erhal",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,,0.50,,,
Vykopal; MKCHIUOSHI Zaznamenal,Vykopal; MKCHIUOSHI Zaznamenal,1,sample_tail,at_risk/partial,27.1667,vowel_run,Noisy:1,,0.67,,,
"grosstenteils rauchschwarz,gelblichgrauen,roten","grosstenteils rauchschwarz,gelblichgrauen,roten",1,sample_tail,at_risk/partial,27.1667,vowel_run,Clear:1,,0.50,,,
"ichaftswissenschaftlichen Fakultät, Breslau:","ichaftswissenschaftlichen Fakultät, Breslau:",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,,0.33,,,
"Rillenornamentierung,mit schlanker","Rillenornamentierung,mit schlanker",1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,,0.50,,,
Kanneluren versehen(stilisiertes Buckelornament!?).,Kanneluren versehen(stilisiertes Buckelornament!?).,1,sample_tail,at_risk/partial,27.1667,low_variety,Clear:1,,0.33,,,
"okraj sekt.III,konec","okraj sekt.III,konec",1,sample_tail,at_risk/partial,27.1667,"triple,vowel_run",Clear:1,,0.67,,,
Tetetice /s.o. Zdounky/.,Tetetice /s.o. Zdounky/.,1,sample_tail,at_risk/partial,27.1667,low_variety,Noisy:1,,0.50,,,
Gemeinde Ovukecieu,Gemeinde Ovukecieu,1,sample_tail,at_risk/partial,27.1667,vowel_run,Clear:1,,0.50,,,
"mit grauem,graphithaltigem Schlickuberzug","mit grauem,graphithaltigem Schlickuberzug",1,sample_tail,at_risk/partial,27.1667,vowel_run,Clear:1,,0.50,,,
Mileschauer Berg,Mileschauer Berg,1,sample_tail,at_risk/partial,27.1667,vowel_run,Clear:1,,0.50,,,
Kat. obec: CtUAAUCA,Kat. obec: CtUAAUCA,1,sample_tail,at_risk/partial,27.1667,"low_variety,vowel_run",Noisy:1,,0.50,,,
